id,externalId,name,isString,isStep,description,securityCategories,unit,tag,scan,span,step,zero,recno,excdev,excmax,excmin,exdesc,future,compdev,compmax,compmin,convers,pointid,srcptid,engunits,shutdown,userint1,userint2,archiving,location1,location2,location3,location4,location5,pointtype,ptclassid,sourcetag,totalcode,userreal1,userreal2,descriptor,digitalset,filtercode,ptclassrev,squareroot,compressing,pointsource,ptclassname,typicalvalue,displaydigits,excdevpercent,instrumenttag,compdevpercent
5185328669061754,pi:160833,VAL_23-TIC-96147:Control Module:YR,False,True,PH 1stStg Comp Seal Gas Working Setpoint,[],degC,VAL_23-TIC-96147:Control Module:YR,1,100,1,0,145333,0,600,0,,0,0,1200,0,1,160833,0,degC,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStg Comp Seal Gas Working Setpoint,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-TIC-96147:Control Module:YR,0
5186449618945333,pi:163374,VAL_45-FT-92606:X.Value,False,False,PH 1stStgDiscCool CoolMed In,[],,VAL_45-FT-92606:X.Value,1,100,0,0,147874,0,600,0,,0,0,28800,0,1,163374,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgDiscCool CoolMed In,,0,1,0,1,VLH_PCN1,classic,50,-5,0,45-FT-92606:X.Value,0
5193193737030566,pi:163522,VAL_45-PDT-92506:X.Value,False,False,PH 1stStgSuctCool Shell,[],,VAL_45-PDT-92506:X.Value,1,100,0,0,148022,0,600,0,,0,0,28800,0,1,163522,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgSuctCool Shell,,0,1,0,1,VLH_PCN1,classic,50,-5,0,45-PDT-92506:X.Value,0
5228965724544674,pi:160258,VAL_23-KA-9101-M01_Spring_Charging_Alarm:VALUE,False,False,PH (SwitchGear) MV-COMP.M. FEEDER/ Spring Charging Alarm,[],,VAL_23-KA-9101-M01_Spring_Charging_Alarm:VALUE,1,1,1,147,144758,0,600,0,,0,0,28800,0,1,160258,0,,0,0,0,1,1,2,1,1,0,Digital,2,,0,0,0,PH (SwitchGear) MV-COMP.M. FEEDER/ Spring Charging Alarm,Valhall_True_False,0,1,0,1,VLH_PCN5,classic,0,-5,0,23-KA-9101-M01_Spring_Charging_Alarm:VALUE,0
5285837666077453,pi:160150,VAL_23-ESDV-92551B-PST:VALUE,False,False,PH,[],,VAL_23-ESDV-92551B-PST:VALUE,1,1,1,147,144650,0,600,0,,0,0,28800,0,1,160150,0,,0,0,0,1,1,2,1,1,0,Digital,2,,0,0,0,PH,Valhall_True_False,0,1,0,1,VLH_PCN5,classic,0,-5,0,23-ESDV-92551B-PST:VALUE,0
5287023217426724,pi:160528,VAL_23-LT-96182:Z.X2.Value,False,False,PH 1st Stg Oil Reservoir,[],,VAL_23-LT-96182:Z.X2.Value,1,100,0,0,145028,0,600,0,,0,0,28800,0,1,160528,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1st Stg Oil Reservoir,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-LT-96182:Z.X2.Value,0
5290447773034607,pi:160645,VAL_23-PDT-96146:X.Value,False,False,PH 1st Stg Comp Gas Filter,[],,VAL_23-PDT-96146:X.Value,1,100,0,0,145145,0,600,0,,0,0,28800,0,1,160645,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1st Stg Comp Gas Filter,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23-PDT-96146:X.Value,0
5295354022886296,pi:160032,VAL_23_FIC_92543_03:Z.X.Value,False,False,PH 1stStgComp First AntSrgStat,[],,VAL_23_FIC_92543_03:Z.X.Value,1,100,0,0,144532,0,600,0,,0,0,28800,0,1,160032,0,,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgComp First AntSrgStat,,0,1,0,1,VLH_PCN1,classic,50,-5,0,23_FIC_92543_03:Z.X.Value,0
5308422837773429,pi:160787,VAL_23-TIC-92604:Control Module:PP,False,False,PH 1stStgDiscCool Gas Out Gain,[],-,VAL_23-TIC-92604:Control Module:PP,0,100,0,0,145287,0,86400,0,,0,0,86400,0,1,160787,0,-,0,0,0,1,1,0,1,1,0,Float32,2,,0,0,0,PH 1stStgDiscCool Gas Out Gain,,0,1,0,1,LAB-WAS-VAL800,classic,50,-5,0,23-TIC-92604:Control Module:PP,0
5312516919536868,pi:160243,VAL_23-KA-9101-M01_Motor_startup_supervision_MOTstart:VALUE,False,False,PH (SwitchGear),[],,VAL_23-KA-9101-M01_Motor_startup_supervision_MOTstart:VALUE,1,1,1,147,144743,0,600,0,,0,0,28800,0,1,160243,0,,0,0,0,1,1,2,1,1,0,Digital,2,,0,0,0,PH (SwitchGear),Valhall_True_False,0,1,0,1,VLH_PCN5,classic,0,-5,0,23-KA-9101-M01_Motor_startup_supervision_MOTstart:VALUE,0
